fold_id,k,acc,f1,auc
21,75,0.6551724137931034,0.6479925303454716,0.7518060643060643
21,100,0.5862068965517241,0.5735992402659069,0.6814583564583564
21,150,0.5517241379310345,0.5172905525846702,0.6219766344766345
21,200,0.5172413793103449,0.4837444655281467,0.577069227069227
21,300,0.4137931034482758,0.3996218834928512,0.6325988825988826
21,500,0.3103448275862069,0.3622574955908288,0.537002812002812
22,10,0.5862068965517241,0.5420266008501303,0.7887256262256263
22,20,0.5517241379310345,0.5628019323671497,0.6843647093647093
22,30,0.5517241379310345,0.5681818181818182,0.7111536611536611
22,50,0.5517241379310345,0.5460157126823794,0.7233886483886484
22,75,0.3793103448275862,0.3693602693602694,0.6423687423687424
22,100,0.4137931034482758,0.4186602870813397,0.6214563214563215
22,150,0.3793103448275862,0.3562057355160803,0.571028046028046
22,200,0.4827586206896552,0.4143039591315453,0.6100126725126725
22,300,0.4137931034482758,0.3967611336032388,0.5706520331520332
22,500,0.4482758620689655,0.4736842105263157,0.6482966107966107
23,10,0.4137931034482758,0.4111111111111111,0.6051780520820769
23,20,0.4482758620689655,0.4644268774703557,0.6903238488377808
23,30,0.3103448275862069,0.314074074074074,0.6106663718118827
23,50,0.3793103448275862,0.3919413919413919,0.6108093317071644
23,75,0.4137931034482758,0.4270531400966184,0.6446441415481664
23,100,0.2758620689655172,0.2785714285714286,0.5584802022882519
23,150,0.3793103448275862,0.3758974358974359,0.490215288667301
23,200,0.3793103448275862,0.3737373737373737,0.4928388261205598
23,300,0.4137931034482758,0.3703703703703704,0.5347656127841885
23,500,0.3448275862068966,0.3271924154277095,0.5083316580220605
24,10,0.3571428571428571,0.3129629629629629,0.5085512640728806
24,20,0.4285714285714285,0.4407407407407407,0.6066685811751601
24,30,0.4285714285714285,0.4407407407407407,0.6364702679317341
24,50,0.4285714285714285,0.4200779727095516,0.5136595208258742
24,75,0.5357142857142857,0.5031928480204343,0.5819813671082469
24,100,0.5714285714285714,0.5717948717948719,0.6221599385368183
24,150,0.5357142857142857,0.5624242424242425,0.6808290567689065
24,200,0.5,0.536075036075036,0.6097846302263595
24,300,0.5357142857142857,0.5624242424242425,0.6520921599634005
24,500,0.5357142857142857,0.5378817413905134,0.6450190456299478
